Algorithm,Size,Start_R,Start_C,Success_Rate,Avg_Time_s,Best_Fitness,Runs
Randomized Warnsdorff,5,0,0,100.0,8.652687072753907e-05,24,50
Randomized Warnsdorff,5,0,4,100.0,8.509159088134765e-05,24,50
Randomized Warnsdorff,5,4,0,100.0,6.158828735351562e-05,24,50
Randomized Warnsdorff,5,4,4,100.0,6.59322738647461e-05,24,50
Randomized Warnsdorff,5,2,2,100.0,7.096290588378906e-05,24,50
Randomized Warnsdorff,6,0,0,100.0,0.0001316356658935547,35,50
Randomized Warnsdorff,6,0,5,100.0,0.00013471603393554687,35,50
Randomized Warnsdorff,6,5,0,100.0,0.00012639522552490234,35,50
Randomized Warnsdorff,6,5,5,100.0,4.2095184326171876e-05,35,50
Randomized Warnsdorff,6,2,2,100.0,0.00020275115966796874,35,50
Randomized Warnsdorff,7,0,0,100.0,0.06248430013656616,48,20
Randomized Warnsdorff,7,0,6,100.0,0.1175421118736267,48,20
Randomized Warnsdorff,7,6,0,100.0,0.08876386880874634,48,20
Randomized Warnsdorff,7,6,6,100.0,0.09135361909866332,48,20
Randomized Warnsdorff,7,2,2,100.0,0.27894556522369385,48,20
Randomized Warnsdorff,8,0,0,100.0,0.0,63,20
Randomized Warnsdorff,8,0,7,100.0,0.0007785677909851075,63,20
Randomized Warnsdorff,8,7,0,100.0,0.0002650737762451172,63,20
Randomized Warnsdorff,8,7,7,100.0,0.00034455060958862307,63,20
Randomized Warnsdorff,8,2,2,100.0,0.0003071904182434082,63,20
Randomized Warnsdorff,9,0,0,100.0,0.0006568431854248047,80,20
Randomized Warnsdorff,9,0,8,100.0,0.00023828744888305665,80,20
Randomized Warnsdorff,9,8,0,100.0,0.0006063580513000488,80,20
Randomized Warnsdorff,9,8,8,100.0,0.00045533180236816405,80,20
Randomized Warnsdorff,9,2,2,100.0,0.00034809112548828125,80,20
Randomized Warnsdorff,10,0,0,100.0,0.0006929516792297363,99,20
Randomized Warnsdorff,10,0,9,100.0,0.00027239322662353516,99,20
Randomized Warnsdorff,10,9,0,100.0,0.000865030288696289,99,20
Randomized Warnsdorff,10,9,9,100.0,0.0009643197059631348,99,20
Randomized Warnsdorff,10,2,2,100.0,0.0009554386138916016,99,20
Cultural Algorithm,5,0,0,100.0,0.0006498336791992187,24,5
Cultural Algorithm,5,0,4,100.0,0.0008334159851074219,24,5
Cultural Algorithm,5,4,0,100.0,0.0010712623596191406,24,5
Cultural Algorithm,5,4,4,100.0,0.0014886856079101562,24,5
Cultural Algorithm,5,2,2,100.0,0.00046973228454589845,24,5
Cultural Algorithm,6,0,0,100.0,7.557868957519531e-05,35,5
Cultural Algorithm,6,0,5,100.0,0.0004184246063232422,35,5
Cultural Algorithm,6,5,0,100.0,0.0002013683319091797,35,5
Cultural Algorithm,6,5,5,100.0,0.0,35,5
Cultural Algorithm,6,2,2,100.0,0.0004542350769042969,35,5
Cultural Algorithm,7,0,0,100.0,0.00034656524658203123,48,5
Cultural Algorithm,7,0,6,100.0,0.0010798454284667968,48,5
Cultural Algorithm,7,6,0,100.0,0.00046911239624023435,48,5
Cultural Algorithm,7,6,6,100.0,0.0004257678985595703,48,5
Cultural Algorithm,7,2,2,100.0,0.00020222663879394532,48,5
Cultural Algorithm,8,0,0,100.0,0.00020928382873535155,63,5
Cultural Algorithm,8,0,7,100.0,0.0,63,5
Cultural Algorithm,8,7,0,100.0,0.0,63,5
Cultural Algorithm,8,7,7,100.0,0.0002105236053466797,63,5
Cultural Algorithm,8,2,2,100.0,0.0001746654510498047,63,5
Cultural Algorithm,9,0,0,100.0,0.0,80,5
Cultural Algorithm,9,0,8,100.0,0.0008148193359375,80,5
Cultural Algorithm,9,8,0,100.0,0.0,80,5
Cultural Algorithm,9,8,8,100.0,0.00020756721496582032,80,5
Cultural Algorithm,9,2,2,100.0,0.0,80,5
Cultural Algorithm,10,0,0,100.0,0.0,99,5
Cultural Algorithm,10,0,9,100.0,0.0,99,5
Cultural Algorithm,10,9,0,100.0,0.001248788833618164,99,5
Cultural Algorithm,10,9,9,100.0,0.0,99,5
Cultural Algorithm,10,2,2,100.0,0.00042057037353515625,99,5
